,NAME_CONTRACT_TYPE,NAME_TYPE_SUITE,ORGANIZATION_TYPE,DAYS_EMPLOYED,OWN_CAR_AGE
186,Cash loans,Unaccompanied,Business Entity Type 3,-9919,
187,Cash loans,Family,Self-employed,-1403,
188,Cash loans,Unaccompanied,Business Entity Type 3,-225,3.0
189,Cash loans,Unaccompanied,Business Entity Type 3,-1514,
190,Cash loans,Unaccompanied,Self-employed,-185,
191,Cash loans,Unaccompanied,Bank,-11883,
192,Cash loans,Unaccompanied,Business Entity Type 3,-5664,7.0
193,Cash loans,Unaccompanied,Self-employed,-4516,7.0
194,Revolving loans,Unaccompanied,Self-employed,-680,
195,Cash loans,Unaccompanied,Self-employed,-240,
196,Cash loans,Unaccompanied,Business Entity Type 2,-410,
197,Cash loans,Family,Medicine,-5025,
198,Revolving loans,Children,Self-employed,-837,
199,Cash loans,"Spouse, partner",Industry: type 3,-2899,9.0
200,Cash loans,Unaccompanied,Transport: type 4,-701,
201,Revolving loans,Unaccompanied,Hotel,-551,
202,Cash loans,Unaccompanied,Military,-468,
203,Cash loans,Unaccompanied,Business Entity Type 2,-1896,21.0
204,Cash loans,Unaccompanied,Trade: type 3,-281,
205,Cash loans,"Spouse, partner",Business Entity Type 3,-1330,21.0
206,Cash loans,Unaccompanied,Business Entity Type 3,-1699,
207,Cash loans,Unaccompanied,Housing,-3947,
208,Cash loans,Unaccompanied,Business Entity Type 3,-7359,11.0
209,Cash loans,Unaccompanied,Business Entity Type 3,-573,
210,Cash loans,Unaccompanied,Industry: type 9,-5021,
211,Cash loans,Unaccompanied,Self-employed,-154,
212,Cash loans,Unaccompanied,Business Entity Type 1,-3408,
213,Cash loans,Unaccompanied,XNA,365243,
214,Cash loans,Unaccompanied,Industry: type 3,-5317,
215,Cash loans,Unaccompanied,Business Entity Type 3,-164,17.0
216,Cash loans,Unaccompanied,Other,-1940,12.0
217,Cash loans,Unaccompanied,Self-employed,-1256,
218,Cash loans,Unaccompanied,Business Entity Type 3,-2127,2.0
219,Cash loans,Unaccompanied,Business Entity Type 3,-4398,3.0
220,Cash loans,Unaccompanied,XNA,365243,
221,Cash loans,Unaccompanied,Restaurant,-1605,
222,Cash loans,Unaccompanied,XNA,365243,25.0
223,Cash loans,Unaccompanied,Government,-1746,
224,Cash loans,Unaccompanied,Postal,-2389,
225,Cash loans,Family,Postal,-3339,2.0
226,Cash loans,Family,XNA,365243,
227,Cash loans,Unaccompanied,XNA,365243,
228,Cash loans,Unaccompanied,Self-employed,-278,
229,Cash loans,Unaccompanied,Business Entity Type 3,-995,
230,Cash loans,Unaccompanied,Business Entity Type 3,-3281,
231,Cash loans,Unaccompanied,Business Entity Type 3,-1028,
232,Cash loans,Unaccompanied,Business Entity Type 3,-1313,
233,Revolving loans,Unaccompanied,XNA,365243,
234,Revolving loans,"Spouse, partner",Business Entity Type 2,-460,
235,Cash loans,Unaccompanied,Other,-9274,
236,Cash loans,Family,Self-employed,-1106,6.0
237,Cash loans,Unaccompanied,XNA,365243,64.0
238,Cash loans,Family,Services,-1787,22.0
239,Cash loans,Unaccompanied,XNA,365243,13.0
240,Cash loans,Unaccompanied,XNA,365243,
241,Cash loans,Unaccompanied,Self-employed,-4942,
242,Revolving loans,Unaccompanied,Insurance,-146,11.0
243,Cash loans,Unaccompanied,Self-employed,-870,
244,Cash loans,Unaccompanied,Business Entity Type 3,-3218,2.0
245,Revolving loans,"Spouse, partner",Self-employed,-1185,
246,Cash loans,"Spouse, partner",Business Entity Type 3,-448,21.0
247,Cash loans,Family,XNA,365243,
248,Cash loans,Unaccompanied,Other,-648,
249,Cash loans,Unaccompanied,Transport: type 4,-7668,0.0
250,Cash loans,Unaccompanied,Business Entity Type 3,-142,
251,Cash loans,Unaccompanied,Self-employed,-716,
252,Cash loans,Unaccompanied,XNA,365243,
253,Cash loans,Family,Transport: type 4,-2993,
254,Cash loans,Unaccompanied,Transport: type 2,-7148,
255,Cash loans,Unaccompanied,Business Entity Type 3,-602,9.0
256,Cash loans,Unaccompanied,Business Entity Type 3,-1116,
257,Cash loans,Family,Self-employed,-1274,9.0
258,Cash loans,Unaccompanied,Self-employed,-3077,
259,Revolving loans,Unaccompanied,Medicine,-11916,
260,Cash loans,Other_A,Trade: type 3,-1572,
261,Cash loans,Unaccompanied,Business Entity Type 3,-166,
262,Cash loans,Unaccompanied,Bank,-482,
263,Cash loans,Unaccompanied,XNA,365243,
264,Revolving loans,Unaccompanied,Business Entity Type 3,-15632,
265,Cash loans,"Spouse, partner",Business Entity Type 3,-100,15.0
266,Cash loans,Unaccompanied,Military,-1480,
267,Cash loans,Unaccompanied,Business Entity Type 3,-3397,
268,Cash loans,Unaccompanied,Postal,-3131,
269,Cash loans,Unaccompanied,Business Entity Type 3,-1228,
270,Cash loans,Unaccompanied,XNA,365243,
271,Cash loans,Unaccompanied,Self-employed,-2573,
272,Cash loans,Unaccompanied,Business Entity Type 2,-59,65.0
273,Cash loans,"Spouse, partner",Medicine,-4917,
274,Cash loans,Unaccompanied,School,-7426,
275,Cash loans,Unaccompanied,Trade: type 7,-189,
276,Cash loans,Unaccompanied,Business Entity Type 3,-782,
277,Cash loans,"Spouse, partner",Construction,-2907,6.0
278,Cash loans,Unaccompanied,Business Entity Type 3,-1420,1.0
279,Cash loans,"Spouse, partner",Business Entity Type 3,-554,20.0
280,Cash loans,Unaccompanied,Business Entity Type 3,-2363,3.0
281,Cash loans,Unaccompanied,Self-employed,-1753,1.0
282,Cash loans,Unaccompanied,Construction,-2875,
283,Cash loans,Unaccompanied,XNA,365243,27.0
284,Cash loans,Family,Business Entity Type 3,-2334,3.0
285,Cash loans,Unaccompanied,Medicine,-8215,
286,Cash loans,Unaccompanied,Business Entity Type 3,-645,19.0
287,Cash loans,Family,XNA,365243,
288,Cash loans,Family,Bank,-864,
289,Cash loans,Unaccompanied,Other,-837,
290,Cash loans,Unaccompanied,XNA,365243,
291,Cash loans,Unaccompanied,Industry: type 3,-1350,5.0
292,Cash loans,Unaccompanied,Business Entity Type 3,-872,
293,Cash loans,Family,Trade: type 6,-1491,
294,Revolving loans,Unaccompanied,Business Entity Type 3,-2828,
295,Cash loans,Unaccompanied,Transport: type 4,-3429,
296,Cash loans,Unaccompanied,Industry: type 2,-7115,28.0
297,Cash loans,Unaccompanied,Business Entity Type 3,-338,
298,Cash loans,Unaccompanied,Business Entity Type 3,-422,2.0
299,Cash loans,Family,Business Entity Type 3,-3894,
300,Cash loans,Unaccompanied,Self-employed,-951,
301,Cash loans,Unaccompanied,School,-6788,
302,Cash loans,Unaccompanied,XNA,365243,
303,Cash loans,Unaccompanied,Business Entity Type 3,-370,
304,Cash loans,Unaccompanied,XNA,365243,
305,Cash loans,Unaccompanied,XNA,365243,
306,Cash loans,Unaccompanied,XNA,365243,
307,Cash loans,Unaccompanied,Self-employed,-535,
308,Revolving loans,Unaccompanied,Business Entity Type 3,-2382,
309,Cash loans,Unaccompanied,Business Entity Type 2,-633,
310,Cash loans,Unaccompanied,Business Entity Type 3,-385,
311,Revolving loans,Unaccompanied,Business Entity Type 3,-1450,
312,Cash loans,Unaccompanied,Business Entity Type 3,-273,12.0
313,Revolving loans,Unaccompanied,Housing,-4483,
314,Cash loans,Unaccompanied,Trade: type 7,-499,
315,Cash loans,Unaccompanied,Business Entity Type 2,-3668,
316,Cash loans,Unaccompanied,Bank,-436,6.0
317,Cash loans,Family,Industry: type 11,-1355,
318,Cash loans,Unaccompanied,XNA,365243,
319,Revolving loans,Unaccompanied,Business Entity Type 3,-3144,3.0
320,Cash loans,Family,Business Entity Type 3,-3473,
321,Cash loans,Unaccompanied,Self-employed,-571,
322,Cash loans,Children,XNA,365243,
323,Cash loans,Unaccompanied,Kindergarten,-426,1.0
324,Cash loans,Unaccompanied,XNA,365243,
325,Cash loans,Unaccompanied,School,-3282,
326,Cash loans,Unaccompanied,Transport: type 2,-7540,17.0
327,Cash loans,Unaccompanied,Transport: type 1,-2672,
328,Cash loans,Unaccompanied,Transport: type 3,-1342,17.0
329,Cash loans,Unaccompanied,Business Entity Type 3,-1281,
330,Cash loans,Unaccompanied,Self-employed,-639,3.0
331,Cash loans,Family,Agriculture,-5136,22.0
332,Cash loans,Family,Business Entity Type 3,-1481,
333,Cash loans,Unaccompanied,Business Entity Type 3,-107,
334,Cash loans,"Spouse, partner",Business Entity Type 3,-819,22.0
335,Cash loans,Unaccompanied,Industry: type 3,-1559,8.0
336,Cash loans,Unaccompanied,Housing,-4145,
337,Cash loans,Unaccompanied,Self-employed,-365,13.0
338,Cash loans,Family,Transport: type 4,-1228,
339,Cash loans,Family,Other,-497,
340,Revolving loans,"Spouse, partner",Business Entity Type 3,-638,17.0
341,Cash loans,Unaccompanied,Police,-6158,6.0
342,Cash loans,Unaccompanied,XNA,365243,
343,Cash loans,Unaccompanied,Business Entity Type 2,-687,12.0
344,Cash loans,Family,XNA,365243,
345,Cash loans,Unaccompanied,Medicine,-2998,
346,Cash loans,Unaccompanied,Police,-2784,
347,Cash loans,Unaccompanied,XNA,365243,
348,Cash loans,Unaccompanied,XNA,365243,
349,Cash loans,Unaccompanied,XNA,365243,
350,Cash loans,Unaccompanied,Business Entity Type 3,-1496,1.0
351,Cash loans,Unaccompanied,Police,-220,12.0
352,Cash loans,Unaccompanied,XNA,365243,
353,Cash loans,Family,Government,-3632,
354,Cash loans,Unaccompanied,Business Entity Type 3,-422,
355,Cash loans,Unaccompanied,Industry: type 3,-1897,
356,Cash loans,Unaccompanied,Business Entity Type 3,-4073,10.0
357,Cash loans,Unaccompanied,Self-employed,-5545,9.0
358,Cash loans,Unaccompanied,Medicine,-1865,21.0
359,Cash loans,"Spouse, partner",XNA,365243,
360,Cash loans,Unaccompanied,Self-employed,-4048,
361,Cash loans,Unaccompanied,Self-employed,-2418,
362,Cash loans,Family,Hotel,-879,
363,Cash loans,Unaccompanied,Government,-1765,
364,Cash loans,Unaccompanied,XNA,365243,
365,Cash loans,Unaccompanied,Business Entity Type 2,-2191,
366,Cash loans,Unaccompanied,Business Entity Type 3,-2299,4.0
367,Cash loans,Unaccompanied,Self-employed,-1251,6.0
368,Cash loans,Unaccompanied,Other,-136,
369,Cash loans,Family,Kindergarten,-2850,64.0
370,Cash loans,Unaccompanied,Postal,-4971,
371,Cash loans,Unaccompanied,Self-employed,-2082,18.0
372,Cash loans,Unaccompanied,Government,-936,
373,Cash loans,Unaccompanied,Other,-296,
374,Cash loans,Unaccompanied,Business Entity Type 3,-6684,
375,Cash loans,Unaccompanied,Government,-1276,
376,Cash loans,Unaccompanied,Self-employed,-3879,
377,Cash loans,Unaccompanied,Other,-1565,
378,Cash loans,Unaccompanied,Industry: type 9,-4690,
379,Revolving loans,Unaccompanied,Business Entity Type 3,-2418,
380,Cash loans,Unaccompanied,XNA,365243,
381,Cash loans,Unaccompanied,Industry: type 9,-609,
382,Cash loans,Family,XNA,365243,
383,Cash loans,Unaccompanied,XNA,365243,
384,Cash loans,Children,Medicine,-6991,
385,Cash loans,Unaccompanied,XNA,365243,
386,Cash loans,Unaccompanied,Business Entity Type 3,-3158,
387,Cash loans,Unaccompanied,Business Entity Type 1,-5544,
388,Cash loans,Unaccompanied,Business Entity Type 2,-10988,
389,Cash loans,Unaccompanied,Business Entity Type 3,-2046,
390,Cash loans,Unaccompanied,Business Entity Type 3,-3298,6.0
391,Revolving loans,Unaccompanied,Other,-3269,2.0
392,Cash loans,Unaccompanied,Transport: type 2,-3443,8.0
393,Cash loans,Unaccompanied,Other,-914,14.0
394,Revolving loans,Unaccompanied,Trade: type 2,-728,7.0
395,Cash loans,Family,XNA,365243,
396,Revolving loans,Unaccompanied,Business Entity Type 3,-459,6.0
397,Revolving loans,Unaccompanied,Business Entity Type 3,-157,
398,Cash loans,Unaccompanied,School,-2134,15.0
399,Cash loans,Unaccompanied,Business Entity Type 2,-8001,
400,Cash loans,Unaccompanied,XNA,365243,
401,Cash loans,Unaccompanied,Self-employed,-819,
402,Cash loans,Unaccompanied,Business Entity Type 2,-5452,
403,Cash loans,Unaccompanied,Trade: type 3,-474,
404,Cash loans,Unaccompanied,XNA,365243,2.0
405,Revolving loans,Unaccompanied,Transport: type 4,-663,4.0
406,Cash loans,Unaccompanied,Business Entity Type 2,-3880,0.0
407,Cash loans,Unaccompanied,Services,-392,1.0
408,Cash loans,Unaccompanied,Self-employed,-519,11.0
409,Cash loans,Unaccompanied,Business Entity Type 3,-2015,7.0
410,Revolving loans,Unaccompanied,Electricity,-2652,15.0
411,Revolving loans,Unaccompanied,Self-employed,-362,5.0
412,Cash loans,Unaccompanied,Other,-304,3.0
413,Cash loans,"Spouse, partner",Business Entity Type 3,-151,12.0
414,Cash loans,Unaccompanied,Business Entity Type 3,-5348,
415,Revolving loans,Unaccompanied,Business Entity Type 3,-189,64.0
416,Cash loans,Group of people,Business Entity Type 3,-1444,
417,Revolving loans,Family,Business Entity Type 3,-9542,3.0
418,Cash loans,Unaccompanied,Medicine,-890,21.0
419,Revolving loans,Unaccompanied,Security,-651,8.0
420,Cash loans,Unaccompanied,XNA,365243,
421,Cash loans,Family,XNA,365243,1.0
422,Cash loans,Unaccompanied,Other,-435,4.0
423,Cash loans,Unaccompanied,Business Entity Type 2,-3953,
424,Cash loans,Family,Security,-2354,
425,Cash loans,Unaccompanied,Self-employed,-644,64.0
426,Cash loans,Unaccompanied,University,-892,
427,Cash loans,Unaccompanied,Self-employed,-2593,16.0
428,Cash loans,Children,Medicine,-2298,13.0
429,Cash loans,Unaccompanied,Business Entity Type 3,-2190,
430,Revolving loans,Other_B,Business Entity Type 2,-401,
431,Cash loans,Unaccompanied,Business Entity Type 3,-1544,
432,Cash loans,Unaccompanied,Business Entity Type 3,-1210,17.0
433,Cash loans,Unaccompanied,Business Entity Type 3,-4322,
434,Cash loans,Unaccompanied,Electricity,-1870,
435,Cash loans,Unaccompanied,Kindergarten,-3159,1.0
436,Cash loans,Unaccompanied,XNA,365243,
437,Cash loans,Unaccompanied,Business Entity Type 3,-206,
438,Cash loans,Unaccompanied,Transport: type 1,-3723,7.0
439,Cash loans,Unaccompanied,Business Entity Type 3,-1977,20.0
440,Cash loans,Unaccompanied,Trade: type 2,-139,
441,Cash loans,"Spouse, partner",Trade: type 3,-2569,1.0
442,Cash loans,Unaccompanied,XNA,365243,
443,Cash loans,Unaccompanied,Self-employed,-1563,
444,Cash loans,Unaccompanied,Business Entity Type 3,-7364,
445,Cash loans,Unaccompanied,XNA,365243,
446,Cash loans,Unaccompanied,Business Entity Type 3,-900,
447,Cash loans,Unaccompanied,XNA,365243,
448,Revolving loans,Family,XNA,365243,
449,Cash loans,Unaccompanied,XNA,365243,
450,Revolving loans,Unaccompanied,Business Entity Type 3,-2572,
451,Revolving loans,Unaccompanied,XNA,365243,
452,Cash loans,Children,Business Entity Type 3,-2309,1.0
453,Cash loans,Unaccompanied,Business Entity Type 3,-1808,27.0
454,Cash loans,Unaccompanied,Business Entity Type 3,-3186,
455,Cash loans,Unaccompanied,Self-employed,-116,
456,Cash loans,Unaccompanied,Self-employed,-668,27.0
457,Revolving loans,Unaccompanied,Bank,-992,
458,Cash loans,Unaccompanied,Medicine,-4624,
459,Cash loans,Family,Self-employed,-348,
460,Cash loans,Unaccompanied,Other,-3802,14.0
461,Cash loans,Family,Trade: type 3,-589,10.0
462,Cash loans,Family,Business Entity Type 3,-117,17.0
463,Revolving loans,Unaccompanied,Construction,-5359,
464,Cash loans,Unaccompanied,Business Entity Type 2,-4363,
465,Cash loans,Unaccompanied,Industry: type 9,-1352,16.0
466,Cash loans,Unaccompanied,Agriculture,-1683,64.0
467,Cash loans,Family,Medicine,-3351,
468,Cash loans,Unaccompanied,Industry: type 3,-3031,15.0
469,Cash loans,Unaccompanied,Military,-3353,
470,Cash loans,Unaccompanied,Medicine,-1003,
471,Cash loans,Unaccompanied,Self-employed,-1065,17.0
472,Cash loans,Unaccompanied,Medicine,-8923,
473,Cash loans,Family,XNA,365243,
474,Cash loans,Unaccompanied,Trade: type 3,-117,
475,Cash loans,Unaccompanied,Emergency,-10089,
476,Cash loans,Unaccompanied,XNA,365243,
477,Cash loans,Unaccompanied,Other,-148,1.0
478,Cash loans,Other_A,Trade: type 3,-3845,
479,Cash loans,Family,Business Entity Type 3,-2722,21.0
480,Cash loans,Unaccompanied,Business Entity Type 3,-486,7.0
481,Cash loans,Unaccompanied,Trade: type 7,-304,
482,Cash loans,Unaccompanied,XNA,365243,
483,Cash loans,Unaccompanied,Business Entity Type 3,-1802,11.0
484,Revolving loans,Unaccompanied,Business Entity Type 3,-1299,
485,Cash loans,Unaccompanied,Security Ministries,-13994,7.0
486,Cash loans,Unaccompanied,XNA,365243,
487,Revolving loans,Unaccompanied,Military,-4332,
488,Cash loans,Unaccompanied,Trade: type 7,-1615,
489,Cash loans,Unaccompanied,Government,-811,
490,Cash loans,Family,XNA,365243,
491,Cash loans,Unaccompanied,Medicine,-3443,
492,Revolving loans,Unaccompanied,Self-employed,-261,10.0
493,Cash loans,Unaccompanied,Business Entity Type 3,-215,5.0
494,Cash loans,Unaccompanied,Transport: type 4,-1912,10.0
495,Cash loans,Unaccompanied,XNA,365243,
496,Cash loans,Unaccompanied,Kindergarten,-1684,1.0
497,Cash loans,Unaccompanied,Business Entity Type 3,-241,4.0
498,Cash loans,Unaccompanied,XNA,365243,4.0
499,Cash loans,Unaccompanied,Other,-342,
500,Cash loans,Family,XNA,365243,
501,Cash loans,Unaccompanied,Construction,-4575,
502,Cash loans,Unaccompanied,Business Entity Type 2,-195,
503,Cash loans,Unaccompanied,Business Entity Type 3,-1689,
504,Cash loans,Unaccompanied,Business Entity Type 3,-3899,
